timestamp,value,vote_1,vote_2,vote_3,vote_4,vote_5,vote_6,vote_7,vote_8,vote_9,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20
2025-08-01 00:00:00,84.3941621571171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 00:30:00,105.751953204687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 01:00:00,95.7213767271271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 01:30:00,96.0926951961038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 02:00:00,100.553920780505,0.0895126605259181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 02:30:00,103.788927227746,0.0809917380578388,0.0806296469127332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 03:00:00,109.673989956889,0.0832697124138815,0.11906321417105,0.0813529423951314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 03:30:00,87.677644974185,0.0804614887420305,0.079598407648232,0.0692523276452709,0.049201543528192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 04:00:00,103.793971321049,0.0793862814388074,0.0907552870600459,0.0711832159631076,0.0500084100228279,0.0730156379333581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 04:30:00,112.10332272847,0.098866140286701,0.167498653710538,0.0960957285454266,0.0638225158076064,0.107932294432846,0.109779899386447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 05:00:00,78.285735223341,0.081244639893459,0.0770457825638927,0.0695124124742803,0.0502309334496781,0.0668061721581117,0.0671792563662283,0.0591130855403541,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 05:30:00,95.2705623229406,0.0848535011245134,0.0737706185120107,0.0712724422376954,0.052912155464452,0.0674126169382334,0.0682616389627795,0.0624209716006508,0.0446975199107041,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 06:00:00,100.783205634125,0.0822269444743107,0.0761051830049654,0.0701282366456131,0.0519556346901857,0.0669636477127941,0.0675880390998431,0.0606412666114468,0.0407311904696893,0.0389154934429738,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 06:30:00,95.5436634908734,0.0866567027158728,0.0734369523413154,0.0725625747487094,0.0558017131193584,0.0685429769771485,0.0695084851436533,0.0644266756489924,0.0466253172052327,0.0445939880433236,0.0546694087231883,0,0,0,0,0,0,0,0,0,0
2025-08-01 07:00:00,85.0445744781932,0.152530190326667,0.0784421243348406,0.10767616243981,0.0944373549639114,0.093578611352424,0.0961880650266808,0.101833277916017,0.102072897031659,0.0928048148345683,0.110155242764335,0.144529508732727,0,0,0,0,0,0,0,0,0
2025-08-01 07:30:00,96.4114846881029,0,0.083654129740376,0.12641939403922,0.117698359236576,0.105743448680936,0.107738195825105,0.116502255679812,0.124500847175178,0.116414731189892,0.127804279277626,0.158948530839204,0.128981733648322,0,0,0,0,0,0,0,0
2025-08-01 08:00:00,95.9308548617458,0,0,0.164544562865735,0.165374031739356,0.127327814104357,0.127467567655682,0.141584695260402,0.166024148157127,0.159276776148155,0.15879343486362,0.197924683086953,0.177560563743016,0.185368332840041,0,0,0,0,0,0,0
2025-08-01 08:30:00,96.8774512500352,0,0,0,0.248557347977856,0.155218814825605,0.150679607248635,0.170476368611572,0.21880198178406,0.215872652761542,0.191897377158357,0.236980305382208,0.235231532312735,0.250075992965795,0.328069129428466,0,0,0,0,0,0
2025-08-01 09:00:00,124.844018025785,0,0,0,0,0.0674579648841866,0.0680086699703681,0.0619017048230585,0.0448065849602797,0.0492101832509948,0.0516042397941689,0.0303593966952408,0.0422781157067018,0.0456600752080016,0.0454688327302593,0.0678906435417833,0,0,0,0,0
2025-08-01 09:30:00,100.396009453429,0,0,0,0,0,0.0676005753145789,0.0611783654089904,0.0448374311906592,0.0504657308321903,0.0511632587725252,0.0293488807278821,0.0430116064350876,0.0472005499557559,0.0478353465660502,0.0708745884489229,0.0723542270406616,0,0,0,0
