timestamp,mu_agg
2025-08-01 10:00:00,0.11591532621745022
2025-08-01 10:30:00,0.06330221813904593
2025-08-01 11:00:00,0.05546117454906592
2025-08-01 11:30:00,0.08193863144670088
2025-08-01 12:00:00,0.10239919774773158
2025-08-01 12:30:00,0.09589189555067382
2025-08-01 13:00:00,0.07340756935226037
2025-08-01 13:30:00,0.07636475816794341
2025-08-01 14:00:00,0.08169638439642758
2025-08-01 14:30:00,0.07167482170937353
2025-08-01 15:00:00,0.06660508931761547
2025-08-01 15:30:00,0.06386230150244973
2025-08-01 16:00:00,0.09025668112403268
2025-08-01 16:30:00,0.0650250120895375
2025-08-01 17:00:00,0.06719340786101344
2025-08-01 17:30:00,0.05977766210324873
2025-08-01 18:00:00,0.3447596050925171
2025-08-01 18:30:00,0.07709210151620909
2025-08-01 19:00:00,0.10223834349824445
2025-08-01 19:30:00,0.06153427188374991
2025-08-01 20:00:00,0.06342165110840677
2025-08-01 20:30:00,0.059585367905726216
2025-08-01 21:00:00,0.03613622404751608
2025-08-01 21:30:00,0.03276645874636982
2025-08-01 22:00:00,0.03866324067772258
2025-08-01 22:30:00,0.06961150506115063
2025-08-01 23:00:00,0.15804862926609323
2025-08-01 23:30:00,0.07279837193090709
2025-08-02 00:00:00,0.10467216059973605
2025-08-02 00:30:00,0.2808791451922044
2025-08-02 01:00:00,0.08057505786430587
2025-08-02 01:30:00,0.06814308943670813
2025-08-02 02:00:00,0.044364680577296575
2025-08-02 02:30:00,0.04637308799293828
2025-08-02 03:00:00,0.15881347222013392
2025-08-02 03:30:00,0.12287265107832224
2025-08-02 04:00:00,0.117349865565892
2025-08-02 04:30:00,0.07600928901237389
2025-08-02 05:00:00,0.0834078722024094
2025-08-02 05:30:00,0.04308181757788332
2025-08-02 06:00:00,0.08609102947214754
2025-08-02 06:30:00,0.03474006704891473
2025-08-02 07:00:00,0.02354595325544455
2025-08-02 07:30:00,0.027440916415241358
2025-08-02 08:00:00,0.02562276527043445
2025-08-02 08:30:00,0.040935950221641565
2025-08-02 09:00:00,0.061691760183098944
2025-08-02 09:30:00,0.178612124642191
2025-08-02 10:00:00,0.3471841757022579
2025-08-02 10:30:00,0.19348914220274277
2025-08-02 11:00:00,0.07424695538118209
2025-08-02 11:30:00,0.035581448755306395
2025-08-02 12:00:00,0.033567011900693146
2025-08-02 12:30:00,0.035524342316883555
2025-08-02 13:00:00,0.041833838708520074
2025-08-02 13:30:00,0.11248028941738523
2025-08-02 14:00:00,0.037860961731930654
2025-08-02 14:30:00,0.029502838027236508
2025-08-02 15:00:00,0.027718140534975122
2025-08-02 15:30:00,0.10676479723452048
2025-08-02 16:00:00,0.31248774216079134
2025-08-02 16:30:00,0.11211081340705287
2025-08-02 17:00:00,0.0999178211723783
2025-08-02 17:30:00,0.05921907073497834
2025-08-02 18:00:00,0.08599091906315981
2025-08-02 18:30:00,0.1354389785254917
2025-08-02 19:00:00,0.06569089765189834
2025-08-02 19:30:00,0.06240436105719396
2025-08-02 20:00:00,0.07484221953758755
2025-08-02 20:30:00,0.06957496006017978
2025-08-02 21:00:00,0.1342648103954142
2025-08-02 21:30:00,0.07526383805837158
2025-08-02 22:00:00,0.07534848817780687
2025-08-02 22:30:00,0.06465389477654457
2025-08-02 23:00:00,0.13033245572148297
2025-08-02 23:30:00,0.1335790220165032
