timestamp,T_star,P_theta_ge_Tstar
2025-08-01 10:00:00,0.5,0.014117001548991426
2025-08-01 10:30:00,0.5,0.005563622734265028
2025-08-01 11:00:00,0.5,0.004716478887729858
2025-08-01 11:30:00,0.5,0.00811325551907649
2025-08-01 12:00:00,0.5,0.011621651004227074
2025-08-01 12:30:00,0.5,0.010523956559336245
2025-08-01 13:00:00,0.5,0.006992335354598089
2025-08-01 13:30:00,0.5,0.0074529072565368
2025-08-01 14:00:00,0.5,0.008197422837624146
2025-08-01 14:30:00,0.5,0.006785313526050718
2025-08-01 15:00:00,0.5,0.006112894517367962
2025-08-01 15:30:00,0.5,0.005777400704194635
2025-08-01 16:00:00,0.5,0.009493374085608797
2025-08-01 16:30:00,0.5,0.005840333153196653
2025-08-01 17:00:00,0.5,0.006015354672826212
2025-08-01 17:30:00,0.5,0.005139059965569959
2025-08-01 18:00:00,0.5,0.20060723876124176
2025-08-01 18:30:00,0.5,0.007188133366613947
2025-08-01 19:00:00,0.5,0.011589998076917296
2025-08-01 19:30:00,0.5,0.005600505994501459
2025-08-01 20:00:00,0.5,0.005784732422892347
2025-08-01 20:30:00,0.5,0.005239439285799952
2025-08-01 21:00:00,0.5,0.003394015750252999
2025-08-01 21:30:00,0.5,0.0031274276900979947
2025-08-01 22:00:00,0.5,0.0034449304978061424
2025-08-01 22:30:00,0.5,0.006211520896600264
2025-08-01 23:00:00,0.5,0.02532531983761599
2025-08-01 23:30:00,0.5,0.006419978551228556
2025-08-02 00:00:00,0.5,0.011402900800975058
2025-08-02 00:30:00,0.5,0.11066297556348714
2025-08-02 01:00:00,0.5,0.007670105734236321
2025-08-02 01:30:00,0.5,0.006233007508758326
2025-08-02 02:00:00,0.5,0.003927335126467146
2025-08-02 02:30:00,0.5,0.004114799029088734
2025-08-02 03:00:00,0.5,0.025574186483408923
2025-08-02 03:30:00,0.5,0.015388345793641234
2025-08-02 04:00:00,0.5,0.013817357481823334
2025-08-02 04:30:00,0.5,0.006969040929379444
2025-08-02 05:00:00,0.5,0.008088683763112003
2025-08-02 05:30:00,0.5,0.0037585159657747003
2025-08-02 06:00:00,0.5,0.009076138805562683
2025-08-02 06:30:00,0.5,0.003213937311348891
2025-08-02 07:00:00,0.5,0.002403830586308997
2025-08-02 07:30:00,0.5,0.002668444281463511
2025-08-02 08:00:00,0.5,0.0025618371709660304
2025-08-02 08:30:00,0.5,0.0035295926702886282
2025-08-02 09:00:00,0.5,0.005308561598684869
2025-08-02 09:30:00,0.5,0.03239813420209792
2025-08-02 10:00:00,0.5,0.18681275859800106
2025-08-02 10:30:00,0.5,0.04055742754945724
2025-08-02 11:00:00,0.5,0.00694939568154429
2025-08-02 11:30:00,0.5,0.003206484217512462
2025-08-02 12:00:00,0.5,0.003095671684291479
2025-08-02 12:30:00,0.5,0.00325800424755307
2025-08-02 13:00:00,0.5,0.0038041466215283926
2025-08-02 13:30:00,0.5,0.014241338241373191
2025-08-02 14:00:00,0.5,0.0035012032450097985
2025-08-02 14:30:00,0.5,0.0028179313741839573
2025-08-02 15:00:00,0.5,0.002589718112508521
2025-08-02 15:30:00,0.5,0.012067417282385473
2025-08-02 16:00:00,0.5,0.15683409949735805
2025-08-02 16:30:00,0.5,0.013389938300528148
2025-08-02 17:00:00,0.5,0.011003565255591319
2025-08-02 17:30:00,0.5,0.005192777482763256
2025-08-02 18:00:00,0.5,0.008732005866808445
2025-08-02 18:30:00,0.5,0.019392958359379375
2025-08-02 19:00:00,0.5,0.0061415156759800915
2025-08-02 19:30:00,0.5,0.005724151993301452
2025-08-02 20:00:00,0.5,0.007227953930638131
2025-08-02 20:30:00,0.5,0.006480240636897894
2025-08-02 21:00:00,0.5,0.01850314780800244
2025-08-02 21:30:00,0.5,0.007125445826618115
2025-08-02 22:00:00,0.5,0.007061962090952778
2025-08-02 22:30:00,0.5,0.0056606356463946295
2025-08-02 23:00:00,0.5,0.017711432759503376
2025-08-02 23:30:00,0.5,0.018685800212279502
2025-08-03 00:00:00,0.5,0.009225339985430625
2025-08-03 00:30:00,0.5,0.006588123367923693
2025-08-03 01:00:00,0.5,0.006828879356570727
2025-08-03 01:30:00,0.5,0.006707210388259277
2025-08-03 02:00:00,0.5,0.006604660267160334
2025-08-03 02:30:00,0.5,0.006524702393227888
2025-08-03 03:00:00,0.5,0.006879950036071003
2025-08-03 03:30:00,0.5,0.005648309049911537
