timestamp,mu_agg,vote_1,conf_vote_1,q_vote_1,w_vote_1,vote_2,conf_vote_2,q_vote_2,w_vote_2,vote_3,conf_vote_3,q_vote_3,w_vote_3,vote_4,conf_vote_4,q_vote_4,w_vote_4,vote_5,conf_vote_5,q_vote_5,w_vote_5,vote_6,conf_vote_6,q_vote_6,w_vote_6,vote_7,conf_vote_7,q_vote_7,w_vote_7,vote_8,conf_vote_8,q_vote_8,w_vote_8,vote_9,conf_vote_9,q_vote_9,w_vote_9,vote_10,conf_vote_10,q_vote_10,w_vote_10,vote_11,conf_vote_11,q_vote_11,w_vote_11,vote_12,conf_vote_12,q_vote_12,w_vote_12,vote_13,conf_vote_13,q_vote_13,w_vote_13,vote_14,conf_vote_14,q_vote_14,w_vote_14,vote_15,conf_vote_15,q_vote_15,w_vote_15,vote_16,conf_vote_16,q_vote_16,w_vote_16,vote_17,conf_vote_17,q_vote_17,w_vote_17,vote_18,conf_vote_18,q_vote_18,w_vote_18,vote_19,conf_vote_19,q_vote_19,w_vote_19,vote_20,conf_vote_20,q_vote_20,w_vote_20
2025-08-01 10:00:00,0.11591532621745022,0.0,0.0,9.999999999909993e-13,8.000260825749838e-13,0.0,0.0,9.999999999909993e-13,8.000260825749838e-13,0.0,0.0,9.999999999909993e-13,8.000260825749838e-13,0.0,0.0,9.999999999909993e-13,8.000260825749838e-13,0.0,0.0,9.999999999909993e-13,8.000260825749838e-13,0.0999213328987026,0.5625,0.0625291802835698,0.06286087792547186,0.11409489064916,0.7056,0.07843660374770996,0.07919845198784074,0.127401824252935,0.8281,0.09205406967613182,0.09274124056471716,0.0982118966615251,0.9216,0.10244780897660076,0.10288850839994668,0.0756771054946709,0.9801,0.10895084372609203,0.10697157745831122,0.104445559235755,1.0,0.11116298717079076,0.11199354887009463,0.116480564271842,0.9801,0.10895084372609203,0.11001478283687366,0.135982190758159,0.9216,0.10244780897660076,0.10272947420761844,0.169512590663331,0.8281,0.09205406967613182,0.08843962128373788,0.126908304451511,0.7056,0.07843660374770996,0.07903731524775616,0.112145720422555,0.5625,0.0625291802835698,0.06312460121043162,0.0,0.0,9.999999999909993e-13,8.000260825749838e-13,0.0,0.0,9.999999999909993e-13,8.000260825749838e-13,0.0,0.0,9.999999999909993e-13,8.000260825749838e-13,0.0,0.0,9.999999999909993e-13,8.000260825749838e-13
2025-08-01 10:30:00,0.06330221813904593,0.0,0.0,9.999999999909993e-13,9.373364738867533e-13,0.0,0.0,9.999999999909993e-13,9.373364738867533e-13,0.0,0.0,9.999999999909993e-13,9.373364738867533e-13,0.0,0.0,9.999999999909993e-13,9.373364738867533e-13,0.0,0.0,9.999999999909993e-13,9.373364738867533e-13,0.0528071914662509,0.5625,0.0625291802835698,0.0627055944606564,0.0622156618262878,0.7056,0.07843660374770996,0.07880656135636406,0.0552540980788861,0.8281,0.09205406967613182,0.09238639390361085,0.0323148207670472,0.9216,0.10244780897660076,0.10123455783367316,0.0506253568593258,0.9801,0.10895084372609203,0.10916254966659637,0.057495183486491,1.0,0.11116298717079076,0.11162434153302904,0.0621177241486164,0.9801,0.10895084372609203,0.10946430426405476,0.0871997388874973,0.9216,0.10244780897660076,0.10191949545084468,0.0828761221605135,0.8281,0.09205406967613182,0.09187811505062882,0.0833747060530546,0.7056,0.07843660374770996,0.07825986642794905,0.0789844859125358,0.5625,0.0625291802835698,0.0625582200441569,0.0,0.0,9.999999999909993e-13,9.373364738867533e-13,0.0,0.0,9.999999999909993e-13,9.373364738867533e-13,0.0,0.0,9.999999999909993e-13,9.373364738867533e-13,0.0,0.0,9.999999999909993e-13,9.373364738867533e-13
2025-08-01 11:00:00,0.05546117454906592,0.0,0.0,9.999999999909993e-13,9.56215631991029e-13,0.0,0.0,9.999999999909993e-13,9.56215631991029e-13,0.0,0.0,9.999999999909993e-13,9.56215631991029e-13,0.0,0.0,9.999999999909993e-13,9.56215631991029e-13,0.0,0.0,9.999999999909993e-13,9.56215631991029e-13,0.0428281434171369,0.5625,0.0625291802835698,0.0628906789502707,0.0426249361566214,0.7056,0.07843660374770996,0.0788829927144848,0.0208532665014613,0.8281,0.09205406967613182,0.0909356040800183,0.0362021501300316,0.9216,0.10244780897660076,0.10266346240699677,0.0415331095096414,0.9801,0.10895084372609203,0.10951542138746592,0.0427095186926243,1.0,0.11116298717079076,0.11179981748729813,0.0654079240154968,0.9801,0.10895084372609203,0.10969595791265215,0.0729483289469747,0.9216,0.10244780897660076,0.10277935893961061,0.0803598965319282,0.8281,0.09205406967613182,0.09185060906862783,0.0783897834859903,0.7056,0.07843660374770996,0.07839113339819478,0.103477071293824,0.5625,0.0625291802835698,0.06059496364577425,0.0,0.0,9.999999999909993e-13,9.56215631991029e-13,0.0,0.0,9.999999999909993e-13,9.56215631991029e-13,0.0,0.0,9.999999999909993e-13,9.56215631991029e-13,0.0,0.0,9.999999999909993e-13,9.56215631991029e-13
2025-08-01 11:30:00,0.08193863144670088,0.0,0.0,9.999999999909993e-13,8.976868988891573e-13,0.0,0.0,9.999999999909993e-13,8.976868988891573e-13,0.0,0.0,9.999999999909993e-13,8.976868988891573e-13,0.0,0.0,9.999999999909993e-13,8.976868988891573e-13,0.0,0.0,9.999999999909993e-13,8.976868988891573e-13,0.0578218277491473,0.5625,0.0625291802835698,0.06242490961886571,0.0341440035944736,0.7056,0.07843660374770996,0.0760290959418023,0.0575753907549086,0.8281,0.09205406967613182,0.09188154046796555,0.0680764793091813,0.9216,0.10244780897660076,0.10296955770980615,0.0786542612730253,0.9801,0.10895084372609203,0.10985042260643832,0.104081735372851,1.0,0.11116298717079076,0.11115334079443126,0.0992213349957191,0.9801,0.10895084372609203,0.10930374266458406,0.0947831575394782,0.9216,0.10244780897660076,0.1030180625048346,0.0919039427687471,0.8281,0.09205406967613182,0.09267187403520205,0.0860119260086314,0.7056,0.07843660374770996,0.07907628002945151,0.118400212927277,0.5625,0.0625291802835698,0.06162117361853966,0.0,0.0,9.999999999909993e-13,8.976868988891573e-13,0.0,0.0,9.999999999909993e-13,8.976868988891573e-13,0.0,0.0,9.999999999909993e-13,8.976868988891573e-13,0.0,0.0,9.999999999909993e-13,8.976868988891573e-13
2025-08-01 12:00:00,0.10239919774773158,0.0,0.0,9.999999999909993e-13,8.431032457868492e-13,0.0,0.0,9.999999999909993e-13,8.431032457868492e-13,0.0,0.0,9.999999999909993e-13,8.431032457868492e-13,0.0,0.0,9.999999999909993e-13,8.431032457868492e-13,0.0,0.0,9.999999999909993e-13,8.431032457868492e-13,0.0389194981781314,0.5625,0.0625291802835698,0.05895887142832716,0.0675222771969281,0.7056,0.07843660374770996,0.07765281314711084,0.0816602138722486,0.8281,0.09205406967613182,0.09238444607032635,0.0993165192221577,0.9216,0.10244780897660076,0.10356759470968149,0.123602765161183,0.9801,0.10895084372609203,0.10930494707898422,0.117137229831254,1.0,0.11116298717079076,0.11197427921095614,0.107847589206257,0.9801,0.10895084372609203,0.11010319664888157,0.108102525480136,0.9216,0.10244780897660076,0.10352628015062121,0.0899323282079431,0.8281,0.09205406967613182,0.09282523381390187,0.140900707269043,0.7056,0.07843660374770996,0.07729574638211018,0.129787006495996,0.5625,0.0625291802835698,0.06240659135151101,0.0,0.0,9.999999999909993e-13,8.431032457868492e-13,0.0,0.0,9.999999999909993e-13,8.431032457868492e-13,0.0,0.0,9.999999999909993e-13,8.431032457868492e-13,0.0,0.0,9.999999999909993e-13,8.431032457868492e-13
2025-08-01 12:30:00,0.09589189555067382,0.0,0.0,9.999999999909993e-13,8.572379695596368e-13,0.0,0.0,9.999999999909993e-13,8.572379695596368e-13,0.0,0.0,9.999999999909993e-13,8.572379695596368e-13,0.0,0.0,9.999999999909993e-13,8.572379695596368e-13,0.0,0.0,9.999999999909993e-13,8.572379695596368e-13,0.0565657139771885,0.5625,0.0625291802835698,0.061199290997096,0.0696724540142462,0.7056,0.07843660374770996,0.07791978192887292,0.08539321161289,0.8281,0.09205406967613182,0.0923668387891498,0.10776484079538,0.9216,0.10244780897660076,0.10274114150547299,0.107799609768208,0.9801,0.10895084372609203,0.10926123050511617,0.101386212254912,1.0,0.11116298717079076,0.11169548492856689,0.104753133698044,0.9801,0.10895084372609203,0.10938109264453606,0.088627735938121,0.9216,0.10244780897660076,0.10289828793736662,0.119669993622236,0.8281,0.09205406967613182,0.09164115258871304,0.111353277970031,0.7056,0.07843660374770996,0.07852759747497538,0.0745655473537575,0.5625,0.0625291802835698,0.06236810069241868,0.0,0.0,9.999999999909993e-13,8.572379695596368e-13,0.0,0.0,9.999999999909993e-13,8.572379695596368e-13,0.0,0.0,9.999999999909993e-13,8.572379695596368e-13,0.0,0.0,9.999999999909993e-13,8.572379695596368e-13
2025-08-01 13:00:00,0.07340756935226037,0.0,0.0,9.999999999909993e-13,9.153900758985078e-13,0.0,0.0,9.999999999909993e-13,9.153900758985078e-13,0.0,0.0,9.999999999909993e-13,9.153900758985078e-13,0.0,0.0,9.999999999909993e-13,9.153900758985078e-13,0.0,0.0,9.999999999909993e-13,9.153900758985078e-13,0.0367770445667559,0.5625,0.0625291802835698,0.06139665504687199,0.039120990864485,0.7056,0.07843660374770996,0.07723812646526888,0.0609110528586168,0.8281,0.09205406967613182,0.09226303611358247,0.0731380346573919,0.9216,0.10244780897660076,0.10295847937390125,0.0801851998968303,0.9801,0.10895084372609203,0.1094069433282722,0.0786675726768386,1.0,0.11116298717079076,0.11166369138120587,0.0911361845838753,0.9801,0.10895084372609203,0.10889933251059672,0.0739942816790225,0.9216,0.10244780897660076,0.10295799483550934,0.0804624125306399,0.8281,0.09205406967613182,0.09243329235606088,0.0988931532018967,0.7056,0.07843660374770996,0.07794543501068175,0.0753083693454075,0.5625,0.0625291802835698,0.06283701356981021,0.0,0.0,9.999999999909993e-13,9.153900758985078e-13,0.0,0.0,9.999999999909993e-13,9.153900758985078e-13,0.0,0.0,9.999999999909993e-13,9.153900758985078e-13,0.0,0.0,9.999999999909993e-13,9.153900758985078e-13
2025-08-01 13:30:00,0.07636475816794341,0.0,0.0,9.999999999909993e-13,9.086447775174267e-13,0.0,0.0,9.999999999909993e-13,9.086447775174267e-13,0.0,0.0,9.999999999909993e-13,9.086447775174267e-13,0.0,0.0,9.999999999909993e-13,9.086447775174267e-13,0.0,0.0,9.999999999909993e-13,9.086447775174267e-13,0.0353322747032671,0.5625,0.0625291802835698,0.061051032815650025,0.0572066240992884,0.7056,0.07843660374770996,0.07834976412289135,0.0717920754187079,0.8281,0.09205406967613182,0.09250532931975701,0.0809209176274756,0.9216,0.10244780897660076,0.10295028902086228,0.078051408081494,0.9801,0.10895084372609203,0.1095192114294586,0.0941789549719764,1.0,0.11116298717079076,0.1111355656750631,0.0723798655376691,0.9801,0.10895084372609203,0.10949447689060263,0.0813961190255705,0.9216,0.10244780897660076,0.10294216146611954,0.107407334034473,0.8281,0.09205406967613182,0.09100641102779518,0.0812912424709252,0.7056,0.07843660374770996,0.07881651871087969,0.052269361262318,0.5625,0.0625291802835698,0.062229239512742764,0.0,0.0,9.999999999909993e-13,9.086447775174267e-13,0.0,0.0,9.999999999909993e-13,9.086447775174267e-13,0.0,0.0,9.999999999909993e-13,9.086447775174267e-13,0.0,0.0,9.999999999909993e-13,9.086447775174267e-13
2025-08-01 14:00:00,0.08169638439642758,0.0,0.0,9.999999999909993e-13,8.966265909884206e-13,0.0,0.0,9.999999999909993e-13,8.966265909884206e-13,0.0,0.0,9.999999999909993e-13,8.966265909884206e-13,0.0,0.0,9.999999999909993e-13,8.966265909884206e-13,0.0,0.0,9.999999999909993e-13,8.966265909884206e-13,0.0855474961556502,0.5625,0.0625291802835698,0.0629233508013666,0.0950555198503073,0.7056,0.07843660374770996,0.07870755248078895,0.0923456372880543,0.8281,0.09205406967613182,0.09247625732419075,0.104136006373016,0.9216,0.10244780897660076,0.10222424344451869,0.0872068185624044,0.9801,0.10895084372609203,0.1096081380763,0.0942947080545294,1.0,0.11116298717079076,0.11158516490607033,0.0906871424735574,0.9801,0.10895084372609203,0.10951232125671843,0.0743884129728192,0.9216,0.10244780897660076,0.10302472697205335,0.0706379135055608,0.8281,0.09205406967613182,0.09246202318189896,0.045585623559558,0.7056,0.07843660374770996,0.07718733054120416,0.0318670419738912,0.5625,0.0625291802835698,0.0602888910068199,0.0,0.0,9.999999999909993e-13,8.966265909884206e-13,0.0,0.0,9.999999999909993e-13,8.966265909884206e-13,0.0,0.0,9.999999999909993e-13,8.966265909884206e-13,0.0,0.0,9.999999999909993e-13,8.966265909884206e-13
2025-08-01 14:30:00,0.07167482170937353,0.0,0.0,9.999999999909993e-13,9.202582381760484e-13,0.0,0.0,9.999999999909993e-13,9.202582381760484e-13,0.0,0.0,9.999999999909993e-13,9.202582381760484e-13,0.0,0.0,9.999999999909993e-13,9.202582381760484e-13,0.0,0.0,9.999999999909993e-13,9.202582381760484e-13,0.0807692128787509,0.5625,0.0625291802835698,0.06281044855878717,0.0832643400118047,0.7056,0.07843660374770996,0.07871899556205043,0.0918732068672472,0.8281,0.09205406967613182,0.09194842109636281,0.0856627816778561,0.9216,0.10244780897660076,0.1027074064387969,0.0799714679950667,0.9801,0.10895084372609203,0.10946723957370046,0.0821203005277911,1.0,0.11116298717079076,0.11161194791528216,0.0784469080207838,0.9801,0.10895084372609203,0.10951082660840362,0.0691445553474,0.9216,0.10244780897660076,0.10304480265554848,0.0463884562122242,0.8281,0.09205406967613182,0.0915804188630627,0.0380223847603898,0.7056,0.07843660374770996,0.07736910435094844,0.032266986277805,0.5625,0.0625291802835698,0.061230388368774556,0.0,0.0,9.999999999909993e-13,9.202582381760484e-13,0.0,0.0,9.999999999909993e-13,9.202582381760484e-13,0.0,0.0,9.999999999909993e-13,9.202582381760484e-13,0.0,0.0,9.999999999909993e-13,9.202582381760484e-13
